Fluid,T,P,D,H,S,U,Q,C,Z,A,viscosity,conductivity,molar_mass,speed_of_sound,acentric
,[K],[Pa],[kg/m^3],[J/kg],[J/kg/K],[J/kg],[-],[m/s],[-],[m/s²],[Pa·s],[W/m/K],[kg/mol],[m/s],[-]
R152A,300.0,101325.0,2.74064,541447.247684,2359.69257,504475.95153,-1.0,1054.292932,0.979012,204.326071,1.1e-05,0.01434,0.066051,204.326071,0.275217
R161,300.0,101325.0,1.982414,623942.996883,2786.77142,572831.05969,-1.0,1263.74982,0.984795,242.891345,,,0.048059,242.891345,0.216243
R21,300.0,101325.0,4.303867,459554.259956,1919.598674,436011.479766,-1.0,619.989012,0.971429,164.112459,,,0.102923,164.112459,0.2061
R218,300.0,101325.0,7.800414,315708.97718,1478.032578,302719.281977,-1.0,799.38769,0.979142,116.388835,1.2e-05,0.012618,0.188019,116.388835,0.3172
R22,300.0,101325.0,3.563531,430549.40641,1986.361892,402115.526073,-1.0,663.890299,0.985675,182.126889,1.4e-05,0.011619,0.086468,182.126889,0.22082
R227EA,300.0,101325.0,7.097458,347812.407937,1567.818552,333536.169269,-1.0,815.855164,0.973153,122.114407,1.2e-05,0.013456,0.170029,122.114407,0.357641
R23,300.0,101325.0,2.86577,398423.195516,2070.133075,363066.206699,-1.0,739.155698,0.992438,205.205175,1.5e-05,0.013738,0.070014,205.205175,0.262965
R236EA,300.0,101325.0,6.389856,390656.488137,1680.569098,374799.323763,-1.0,869.773421,0.966547,128.660096,1.1e-05,0.014569,0.152038,128.660096,0.368782
R236FA,300.0,101325.0,6.378952,380897.028716,1661.711777,365012.758761,-1.0,840.786132,0.968199,129.015251,1.1e-05,0.012771,0.152038,129.015251,0.376912
R245ca,300.0,101325.0,5.660261,440049.981139,1809.402014,422148.864628,-1.0,914.48963,0.962022,136.847198,,,0.134048,136.847198,0.354565
R245fa,300.0,101325.0,5.648128,427167.490985,1789.461993,409227.919653,-1.0,891.07472,0.964088,137.416423,1.2e-05,0.015874,0.134048,137.416423,0.3776
R32,300.0,101325.0,2.139249,561722.127927,2632.749453,514357.379466,-1.0,849.663842,0.987878,241.925536,1.3e-05,0.013765,0.052024,241.925536,0.2769
R365MFC,300.0,101325.0,1253.133034,236415.2342,1126.901545,236334.376863,-1.0,1380.371057,0.0048,719.92425,,,0.148075,719.92425,0.377445
R40,300.0,101325.0,2.086343,-1505.112074,-2.226789,-50070.941895,-1.0,839.442593,0.983012,246.447407,,,0.050488,246.447407,0.150068
R404A,300.0,101325.0,4.030989,400067.698672,1870.560599,374931.18974,-1.0,880.347809,0.983594,166.212691,1.2e-05,0.013586,0.097604,166.212691,0.293
R407C,300.0,101325.0,3.557644,440690.720181,2024.897033,412209.791004,-1.0,839.841474,0.984291,178.970929,1.2e-05,0.013383,0.086204,178.970929,0.363
R41,300.0,101325.0,1.393883,627957.219083,3237.39298,555264.629351,-1.0,1120.455507,0.991821,305.299927,,,0.034033,305.299927,0.2004
R410A,300.0,101325.0,2.986868,461383.15027,2174.342388,427459.656701,-1.0,825.132476,0.987174,198.324289,1.3e-05,0.013465,0.072585,198.324289,0.296
R507A,300.0,101325.0,4.082051,396405.834077,1857.633935,371583.751674,-1.0,875.140086,0.983783,165.106877,1.2e-05,0.013608,0.098859,165.106877,0.286
RC318,300.0,101325.0,8.37138,335752.916635,1502.999629,323649.177031,-1.0,794.05854,0.970643,111.736707,1.1e-05,0.012208,0.200031,111.736707,0.355345
SES36,300.0,101325.0,1367.589573,219079.084336,1120.741021,219004.994125,-1.0,1086.628384,0.005491,649.27557,,,0.18485,649.27557,0.352
SulfurDioxide,300.0,101325.0,2.646075,413454.149498,1565.425199,375161.5861,-1.0,649.718443,0.983494,219.552194,,,0.064064,219.552194,0.25613
SulfurHexafluoride,300.0,101325.0,5.999672,312823.471796,1542.422411,295935.049173,-1.0,671.893319,0.988896,135.397506,1.5e-05,0.013129,0.146055,135.397506,0.21
Toluene,300.0,101325.0,860.513257,-155010.471239,-454.208772,-155128.220733,-1.0,1707.009014,0.00435,1294.996156,0.00054,0.129835,0.092138,1294.996156,0.2657
trans-2-Butene,300.0,101325.0,2.34967,446297.621523,1621.915214,403174.545219,-1.0,1615.580224,0.969986,216.339372,,,0.056106,216.339372,0.210077
Water,300.0,101325.0,996.556935,112654.899655,393.062068,112553.224581,-1.0,4180.635777,0.000734,1501.522647,0.000854,0.6095,0.018015,1501.522647,0.344292
Xenon,300.0,101325.0,5.361213,117691.478938,677.383486,98791.839073,-1.0,160.054463,0.994808,177.575486,,,0.131293,177.575486,0.00363
